energy	h1_total	o16_total
1.00978	20.7871	3.89147
1.06875	20.7732	3.89132
1.13117	20.7585	3.89116
1.19724	20.7429	3.89099
1.26716	20.7278	3.89083
1.34117	20.716	3.8907
1.4195	20.7036	3.89057
1.5024	20.6905	3.89043
1.59015	20.6804	3.89033
1.68302	20.6698	3.89021
1.78131	20.6594	3.8901
1.88535	20.6503	3.89001
1.99546	20.6408	3.88991
2.112	20.6341	3.88984
2.23535	20.6271	3.88976
2.3659	20.6198	3.88969
2.50408	20.612	3.88961
2.65033	20.6038	3.88952
2.80512	20.5964	3.88945
2.96895	20.591	3.88939
3.14235	20.5853	3.88933
3.32587	20.5793	3.88927
3.52011	20.5731	3.88921
3.7257	20.5687	3.88916
3.9433	20.5639	3.88912
4.1736	20.559	3.88907
4.41735	20.5547	3.88903
4.67534	20.5507	3.88899
4.9484	20.5464	3.88894
5.2374	20.5431	3.88891
5.54329	20.5398	3.88888
5.86704	20.5363	3.88885
6.20969	20.5326	3.88881
6.57236	20.5298	3.88878
6.95621	20.527	3.88876
7.36248	20.524	3.88873
7.79248	20.5214	3.8887
8.24759	20.519	3.88868
8.72928	20.5164	3.88865
9.2391	20.5142	3.88863
9.7787	20.512	3.88861
10.3498	20.51	3.88859
10.9543	20.5082	3.88858
11.5941	20.5063	3.88856
12.2712	20.5043	3.88854
12.9879	20.5026	3.88852
13.7464	20.5011	3.88851
14.5493	20.4994	3.88849
15.399	20.4979	3.88848
16.2983	20.4965	3.88847
17.2502	20.4951	3.88845
18.2577	20.4938	3.88844
19.324	20.4926	3.88843
20.4526	20.4914	3.88842
21.6471	20.4905	3.88841
22.9114	20.4895	3.8884
24.2495	20.4884	3.88838
25.6658	20.4873	3.88837
27.1647	20.4861	3.88836
28.7513	20.4853	3.88835
30.4305	20.4845	3.88834
32.2077	20.4836	3.88833
34.0888	20.4827	3.88832
36.0797	20.4819	3.88831
38.1869	20.4812	3.8883
40.4171	20.4805	3.88829
42.7776	20.4797	3.88828
45.276	20.4791	3.88827
47.9203	20.4785	3.88826
50.719	20.4778	3.88825
53.6812	20.4773	3.88824
56.8164	20.4767	3.88823
60.1346	20.4761	3.88822
63.6467	20.4756	3.88821
67.3639	20.4751	3.8882
71.2982	20.4746	3.88818
75.4623	20.4741	3.88817
79.8696	20.4736	3.88816
84.5343	20.4732	3.88815
89.4714	20.4727	3.88813
94.6969	20.4721	3.88812
100.228	20.4714	3.8881
106.081	20.4685	3.88809
112.277	20.4655	3.88807
118.834	20.4622	3.88806
125.774	20.4589	3.88804
133.12	20.4559	3.88802
140.895	20.4527	3.888
149.124	20.4493	3.88798
157.833	20.4462	3.88796
167.051	20.443	3.88794
176.807	20.4398	3.88791
187.134	20.4367	3.88789
198.063	20.4335	3.88786
209.631	20.4306	3.88784
221.874	20.4278	3.88781
234.832	20.4247	3.88778
248.547	20.4215	3.88774
263.063	20.4181	3.88771
278.427	20.4148	3.88767
294.688	20.4119	3.88764
311.899	20.4089	3.8876
330.115	20.4057	3.88755
349.395	20.4023	3.88751
369.801	20.3994	3.88746
391.399	20.3964	3.88741
414.258	20.3932	3.88736
438.452	20.3901	3.8873
464.06	20.3871	3.88724
491.162	20.384	3.88718
519.848	20.3811	3.88711
550.209	20.3781	3.88704
582.344	20.3751	3.88697
616.355	20.3718	3.88689
652.352	20.3689	3.88681
690.452	20.3659	3.88672
730.777	20.3627	3.88662
773.457	20.3597	3.88653
818.63	20.3567	3.88642
866.441	20.3536	3.88631
917.044	20.3504	3.8862
970.603	20.347	3.88607
1027.29	20.3373	3.88594
1087.29	20.3201	3.8858
1150.79	20.3018	3.88565
1218	20.2825	3.8855
1289.13	20.2641	3.88533
1364.43	20.2462	3.88516
1444.11	20.2274	3.88497
1528.45	20.2085	3.88477
1617.72	20.1906	3.88457
1712.2	20.1718	3.88435
1812.2	20.1535	3.88411
1918.04	20.1352	3.88387
2030.06	20.1165	3.88361
2148.62	20.0985	3.88333
2274.11	20.0799	3.88304
2406.93	20.0619	3.88273
2547.5	20.0437	3.8824
2696.29	20.0263	3.88206
2853.76	20.0079	3.88169
3020.43	19.9888	3.8813
3196.83	19.9714	3.88089
3383.54	19.953	3.88046
3581.15	19.9345	3.88
3790.31	19.9167	3.87951
4011.67	19.898	3.879
4245.97	19.8804	3.87845
4493.95	19.8618	3.87788
4756.41	19.8438	3.87727
5034.21	19.8217	3.87662
5328.22	19.7746	3.87594
5639.41	19.7247	3.87522
5968.77	19.6719	3.87445
6317.37	19.624	3.87364
