energy	cross_section
1.72502e-05	20.4951
1.82577e-05	20.4938
1.9324e-05	20.4926
2.04526e-05	20.4914
2.16471e-05	20.4905
2.29114e-05	20.4895
2.42495e-05	20.4884
2.56658e-05	20.4873
2.71647e-05	20.4861
2.87513e-05	20.4853
3.04305e-05	20.4845
3.22077e-05	20.4836
3.40888e-05	20.4827
3.60797e-05	20.4819
3.81869e-05	20.4812
4.04171e-05	20.4805
4.27776e-05	20.4797
4.5276e-05	20.4791
4.79203e-05	20.4785
5.0719e-05	20.4778
5.36812e-05	20.4773
5.68164e-05	20.4767
6.01346e-05	20.4761
6.36467e-05	20.4756
6.73639e-05	20.4751
7.12982e-05	20.4746
7.54623e-05	20.4741
7.98696e-05	20.4736
8.45343e-05	20.4732
8.94714e-05	20.4727
9.46969e-05	20.4721
0.000100228	20.4714
0.000106081	20.4685
0.000112277	20.4655
0.000118834	20.4622
0.000125774	20.4589
0.00013312	20.4559
0.000140895	20.4527
0.000149124	20.4493
0.000157833	20.4462
0.000167051	20.443
0.000176807	20.4398
0.000187134	20.4367
0.000198063	20.4335
0.000209631	20.4306
0.000221874	20.4278
0.000234832	20.4247
0.000248547	20.4215
0.000263063	20.4181
0.000278427	20.4148
0.000294688	20.4119
0.000311899	20.4089
0.000330115	20.4057
0.000349395	20.4023
0.000369801	20.3994
0.000391399	20.3964
0.000414258	20.3932
0.000438452	20.3901
0.00046406	20.3871
0.000491162	20.384
0.000519848	20.3811
0.000550209	20.3781
0.000582344	20.3751
0.000616355	20.3718
0.000652352	20.3689
0.000690452	20.3659
0.000730777	20.3627
0.000773457	20.3597
0.00081863	20.3567
0.000866441	20.3536
0.000917044	20.3504
0.000970603	20.347
0.00102729	20.3373
0.00108729	20.3201
0.00115079	20.3018
0.001218	20.2825
0.00128913	20.2641
0.00136443	20.2462
0.00144411	20.2274
0.00152845	20.2085
0.00161772	20.1906
0.0017122	20.1718
0.0018122	20.1535
0.00191804	20.1352
0.00203006	20.1165
0.00214862	20.0985
0.00227411	20.0799
0.00240693	20.0619
0.0025475	20.0437
0.00269629	20.0263
0.00285376	20.0079
0.00302043	19.9888
0.00319683	19.9714
0.00338354	19.953
0.00358115	19.9345
0.00379031	19.9167
0.00401167	19.898
0.00424597	19.8804
0.00449395	19.8618
0.00475641	19.8438
0.00503421	19.8217
0.00532822	19.7746
0.00563941	19.7247
0.00596877	19.6719
0.00631737	19.624
0.00668633	19.5741
0.00707684	19.5228
0.00749015	19.4747
0.0079276	19.4238
0.00839061	19.3756
0.00888065	19.3256
0.00939931	19.2769
0.00994827	19.2267
0.0105293	19.1462
0.0111442	19.0582
0.0117951	18.965
0.012484	18.8664
0.0132131	18.782
0.0139848	18.693
0.0148015	18.599
0.015666	18.5121
0.016581	18.4242
0.0175493	18.3319
0.0185743	18.2474
0.0196591	18.158
0.0208073	18.0386
0.0220225	17.9011
0.0233087	17.7663
0.02467	17.6304
0.0261108	17.5032
0.0276358	17.3738
0.0292498	17.2368
0.0309581	17.0851
0.0327662	16.919
0.0346799	16.7431
0.0367053	16.5812
0.038849	16.4146
0.041118	16.2352
0.0435194	16.0421
0.0460611	15.8483
0.0487512	15.659
0.0515985	15.4569
0.054612	15.2414
0.0578016	15.0346
0.0611774	14.8187
0.0647504	14.5898
0.0685321	14.3685
0.0725346	14.137
0.0767709	13.9011
0.0812546	13.6645
0.0860001	13.42
0.0910229	13.1773
0.0963389	12.928
0.101966	12.6802
0.107921	12.4229
0.114224	12.1717
0.120895	11.9183
0.127955	11.6595
0.135429	11.4057
0.143338	11.1498
0.15171	10.8904
0.16057	10.6365
0.169948	10.379
0.179873	10.1283
0.190379	9.8758
0.201497	9.6301
0.213266	9.38704
0.225721	9.14216
0.238904	8.8984
0.252857	8.66387
0.267625	8.42972
0.283255	8.19815
0.299798	7.97068
0.317308	7.75017
0.33584	7.53319
0.355454	7.32035
0.376214	7.11193
0.398186	6.9079
0.421442	6.70908
0.446055	6.51594
0.472107	6.3269
0.499679	6.14179
0.528863	5.96743
0.55975	5.79045
0.592442	5.61999
0.627042	5.45613
0.663664	5.29442
0.702424	5.13644
0.743449	4.9853
0.786869	4.83831
0.832825	4.69503
0.881465	4.55567
0.932946	4.42011
0.987433	4.28829
1.0451	4.16325
1.10614	4.0358
1.17074	3.91654
1.23912	3.79865
1.31149	3.68247
1.38808	3.57072
1.46915	3.46247
1.55496	3.35631
1.64577	3.2526
1.74189	3.15142
1.84363	3.05265
1.9513	2.95616
2.06526	2.86183
2.18588	2.76944
2.31355	2.67934
2.44867	2.59142
2.59168	2.50487
2.74304	2.42065
2.90324	2.33776
3.07281	2.25768
3.25227	2.17817
3.44221	2.10043
3.64325	2.02444
3.85603	1.95009
4.08124	1.87733
4.3196	1.80607
4.57188	1.73626
4.83889	1.66818
5.1215	1.60158
5.42062	1.53646
5.7372	1.47322
6.07227	1.41165
6.42692	1.35134
6.80227	1.29269
7.19955	1.2368
7.62003	1.18119
8.06507	1.12726
8.5361	1.07496
9.03464	1.0245
9.5623	0.975748
10.1208	0.92863
10.7119	0.883081
11.3375	0.839016
11.9996	0.796335
12.7004	0.755722
13.4422	0.716309
14.2273	0.678643
15.0582	0.642282
15.9377	0.607495
16.8685	0.57416
17.8537	0.542211
18.8964	0.511607
20	0.482296
