energy	cross_section
1.22712e-05	0.277325
1.29879e-05	0.278667
1.37464e-05	0.294739
1.45493e-05	0.328868
1.5399e-05	0.390241
1.62983e-05	0.499631
1.72502e-05	0.717334
1.82577e-05	1.26247
1.9324e-05	3.38552
2.04526e-05	46.6256
2.16471e-05	12.4928
2.29114e-05	1.83169
2.42495e-05	0.833657
2.56658e-05	0.453767
2.71647e-05	0.380617
2.87513e-05	0.375936
3.04305e-05	0.487062
3.22077e-05	0.818462
3.40888e-05	2.24265
3.60797e-05	41.7987
3.81869e-05	6.18078
4.04171e-05	0.996096
4.27776e-05	0.388489
4.5276e-05	0.746185
4.79203e-05	0.13776
5.0719e-05	0.107183
5.36812e-05	0.100165
5.68164e-05	0.118908
6.01346e-05	0.213234
6.36467e-05	2.39883
6.73639e-05	3.36056
7.12982e-05	0.23548
7.54623e-05	0.105721
7.98696e-05	0.556501
8.45343e-05	0.0932178
8.94714e-05	2.8884
9.46969e-05	0.206029
0.000100228	2.05858
0.000106081	0.900216
0.000112277	0.279072
0.000118834	0.969727
0.000125774	0.0738088
0.00013312	0.472613
0.000140895	0.0270183
0.000149124	0.0298911
0.000157833	0.0318461
0.000167051	0.140134
0.000176807	0.0965542
0.000187134	2.15336
0.000198063	0.229292
0.000209631	3.53111
0.000221874	0.044523
0.000234832	0.310958
0.000248547	0.0256351
0.000263063	0.0714024
0.000278427	0.166021
0.000294688	1.36078
0.000311899	2.03227
0.000330115	0.0155109
0.000349395	1.50078
0.000369801	0.0115705
0.000391399	0.0137759
0.000414258	0.0528374
0.000438452	0.0287941
0.00046406	1.39914
0.000491162	0.0116534
0.000519848	0.833971
0.000550209	0.160941
0.000582344	0.266366
0.000616355	0.554738
0.000652352	0.0434097
0.000690452	0.142355
0.000730777	1.14385
0.000773457	0.0196453
0.00081863	0.166757
0.000866441	18.7602
0.000917044	0.0223467
0.000970603	0.0422106
0.00102729	0.0322334
0.00108729	0.00944205
0.00115079	0.0402622
0.001218	0.0165042
0.00128913	0.475622
0.00136443	0.00523218
0.00144411	19.4648
0.00152845	1.20517
0.00161772	0.0515073
0.0017122	3.33376
0.0018122	0.022302
0.00191804	8.93741
0.00203006	14.5515
0.00214862	0.220302
0.00227411	0.0621847
0.00240693	0.0105239
0.0025475	10.29
0.00269629	10.0075
0.00285376	0.0149099
0.00302043	0.0170355
0.00319683	0.0331433
0.00338354	1.83327
0.00358115	0.13616
0.00379031	0.850117
0.00401167	0.0513968
0.00424597	0.0512891
0.00449395	0.0163745
0.00475641	0.887065
0.00503421	0.812529
0.00532822	0.955029
0.00563941	2.77669
0.00596877	2.42696
0.00631737	0.334803
0.00668633	0.293532
0.00707684	1.36027
0.00749015	0.230766
0.0079276	1.29942
0.00839061	0.0162557
0.00888065	1.16291
0.00939931	0.0135206
0.00994827	0.333361
0.0105293	0.704756
0.0111442	0.688758
0.0117951	0.671825
0.012484	0.656309
0.0132131	0.640966
0.0139848	0.624727
0.0148015	0.610314
0.015666	0.595115
0.016581	0.580521
0.0175493	0.565985
0.0185743	0.551749
0.0196591	0.537636
0.0208073	0.524269
0.0220225	0.510822
0.0233087	0.497151
0.02467	0.484559
0.0261108	0.471856
0.0276358	0.45975
0.0292498	0.44741
0.0309581	0.436035
0.0327662	0.424791
0.0346799	0.413111
0.0367053	0.402903
0.038849	0.392526
0.041118	0.382611
0.0435194	0.373244
0.0460611	0.358631
0.0487512	0.335015
0.0515985	0.314278
0.054612	0.295843
0.0578016	0.27967
0.0611774	0.264634
0.0647504	0.251766
0.0685321	0.238146
0.0725346	0.226607
0.0767709	0.216178
0.0812546	0.205986
0.0860001	0.197589
0.0910229	0.189182
0.0963389	0.18215
0.101966	0.175496
0.107921	0.170071
0.114224	0.164329
0.120895	0.158545
0.127955	0.154425
0.135429	0.150064
0.143338	0.146071
0.15171	0.14259
0.16057	0.139026
0.169948	0.136118
0.179873	0.13304
0.190379	0.130642
0.201497	0.128251
0.213266	0.126119
0.225721	0.123863
0.238904	0.121901
