energy	macroscopic_cross_section
8.04676e-07	1.52523e+24
8.51672e-07	1.52384e+24
9.01413e-07	1.52255e+24
9.54059e-07	1.52137e+24
1.00978e-06	1.52019e+24
1.06875e-06	1.51925e+24
1.13117e-06	1.51826e+24
1.19724e-06	1.51722e+24
1.26716e-06	1.5162e+24
1.34117e-06	1.51541e+24
1.4195e-06	1.51457e+24
1.5024e-06	1.51369e+24
1.59015e-06	1.51301e+24
1.68302e-06	1.5123e+24
1.78131e-06	1.5116e+24
1.88535e-06	1.51099e+24
1.99546e-06	1.51035e+24
2.112e-06	1.5099e+24
2.23535e-06	1.50943e+24
2.3659e-06	1.50894e+24
2.50408e-06	1.50842e+24
2.65033e-06	1.50786e+24
2.80512e-06	1.50737e+24
2.96895e-06	1.507e+24
3.14235e-06	1.50662e+24
3.32587e-06	1.50621e+24
3.52011e-06	1.5058e+24
3.7257e-06	1.5055e+24
3.9433e-06	1.50518e+24
4.1736e-06	1.50485e+24
4.41735e-06	1.50456e+24
4.67534e-06	1.50429e+24
4.9484e-06	1.50401e+24
5.2374e-06	1.50378e+24
5.54329e-06	1.50356e+24
5.86704e-06	1.50333e+24
6.20969e-06	1.50308e+24
6.57236e-06	1.50289e+24
6.95621e-06	1.5027e+24
7.36248e-06	1.5025e+24
7.79248e-06	1.50232e+24
8.24759e-06	1.50216e+24
8.72928e-06	1.50199e+24
9.2391e-06	1.50184e+24
9.7787e-06	1.50169e+24
1.03498e-05	1.50156e+24
1.09543e-05	1.50144e+24
1.15941e-05	1.50131e+24
1.22712e-05	1.50118e+24
1.29879e-05	1.50106e+24
1.37464e-05	1.50096e+24
1.45493e-05	1.50085e+24
1.5399e-05	1.50075e+24
1.62983e-05	1.50065e+24
1.72502e-05	1.50056e+24
1.82577e-05	1.50047e+24
1.9324e-05	1.50039e+24
2.04526e-05	1.50031e+24
2.16471e-05	1.50025e+24
2.29114e-05	1.50018e+24
2.42495e-05	1.50011e+24
2.56658e-05	1.50003e+24
2.71647e-05	1.49996e+24
2.87513e-05	1.4999e+24
3.04305e-05	1.49984e+24
3.22077e-05	1.49979e+24
3.40888e-05	1.49972e+24
3.60797e-05	1.49967e+24
3.81869e-05	1.49962e+24
4.04171e-05	1.49957e+24
4.27776e-05	1.49952e+24
4.5276e-05	1.49948e+24
4.79203e-05	1.49944e+24
5.0719e-05	1.49939e+24
5.36812e-05	1.49936e+24
5.68164e-05	1.49932e+24
6.01346e-05	1.49928e+24
6.36467e-05	1.49924e+24
6.73639e-05	1.49921e+24
7.12982e-05	1.49918e+24
7.54623e-05	1.49914e+24
7.98696e-05	1.49911e+24
8.45343e-05	1.49908e+24
8.94714e-05	1.49905e+24
9.46969e-05	1.49901e+24
0.000100228	1.49896e+24
0.000106081	1.49877e+24
0.000112277	1.49856e+24
0.000118834	1.49835e+24
0.000125774	1.49812e+24
0.00013312	1.49792e+24
0.000140895	1.49771e+24
0.000149124	1.49748e+24
0.000157833	1.49727e+24
0.000167051	1.49706e+24
0.000176807	1.49684e+24
0.000187134	1.49663e+24
0.000198063	1.49642e+24
0.000209631	1.49623e+24
0.000221874	1.49603e+24
0.000234832	1.49583e+24
0.000248547	1.49561e+24
0.000263063	1.49539e+24
0.000278427	1.49516e+24
0.000294688	1.49497e+24
0.000311899	1.49476e+24
0.000330115	1.49455e+24
0.000349395	1.49432e+24
0.000369801	1.49413e+24
0.000391399	1.49392e+24
0.000414258	1.49371e+24
0.000438452	1.4935e+24
0.00046406	1.4933e+24
0.000491162	1.49308e+24
0.000519848	1.49289e+24
0.000550209	1.49269e+24
0.000582344	1.49248e+24
0.000616355	1.49226e+24
0.000652352	1.49206e+24
0.000690452	1.49186e+24
0.000730777	1.49165e+24
0.000773457	1.49144e+24
0.00081863	1.49124e+24
0.000866441	1.49102e+24
0.000917044	1.4908e+24
0.000970603	1.49058e+24
0.00102729	1.48992e+24
0.00108729	1.48877e+24
0.00115079	1.48754e+24
0.001218	1.48624e+24
0.00128913	1.485e+24
0.00136443	1.48381e+24
0.00144411	1.48254e+24
0.00152845	1.48127e+24
0.00161772	1.48007e+24
0.0017122	1.4788e+24
0.0018122	1.47757e+24
0.00191804	1.47634e+24
0.00203006	1.47511e+24
0.00214862	1.47404e+24
0.00227411	1.4729e+24
0.00240693	1.47169e+24
0.0025475	1.47041e+24
0.00269629	1.46906e+24
0.00285376	1.46784e+24
0.00302043	1.46666e+24
0.00319683	1.46541e+24
0.00338354	1.46408e+24
0.00358115	1.46281e+24
0.00379031	1.46165e+24
0.00401167	1.46042e+24
0.00424597	1.45912e+24
0.00449395	1.45793e+24
0.00475641	1.45667e+24
0.00503421	1.45514e+24
0.00532822	1.45207e+24
0.00563941	1.44881e+24
0.00596877	1.44537e+24
0.00631737	1.44185e+24
0.00668633	1.43867e+24
0.00707684	1.4353e+24
0.00749015	1.43174e+24
0.0079276	1.42855e+24
0.00839061	1.42517e+24
0.00888065	1.42173e+24
0.00939931	1.41844e+24
0.00994827	1.41497e+24
0.0105293	1.40953e+24
0.0111442	1.4036e+24
0.0117951	1.39732e+24
0.012484	1.39068e+24
0.0132131	1.38497e+24
0.0139848	1.37897e+24
0.0148015	1.37262e+24
0.015666	1.36674e+24
0.016581	1.3608e+24
0.0175493	1.35455e+24
0.0185743	1.34883e+24
0.0196591	1.34277e+24
0.0208073	1.33544e+24
0.0220225	1.32728e+24
0.0233087	1.31865e+24
0.02467	1.3095e+24
0.0261108	1.29983e+24
