energy	cross_section
1e-11	36338.2
1.0584e-11	35367.2
1.12022e-11	34339.5
1.18564e-11	33407.1
1.25489e-11	32442.8
1.32818e-11	31556
1.40575e-11	30664.9
1.48785e-11	29798.4
1.57475e-11	28974.1
1.66672e-11	28160.1
1.76406e-11	27369.5
1.86709e-11	26638.4
1.97613e-11	25864.5
2.09155e-11	25159
2.2137e-11	24443.6
2.34299e-11	23763.2
2.47983e-11	23089.6
2.62466e-11	22449.7
2.77795e-11	21803.9
2.94019e-11	21207.7
3.11191e-11	20609.6
3.29366e-11	20025.1
3.48602e-11	19471.7
3.68962e-11	18942.5
3.9051e-11	18417.9
4.13318e-11	17881.3
4.37457e-11	17391.2
4.63006e-11	16897.1
4.90047e-11	16425.1
5.18668e-11	15973.8
5.4896e-11	15523.3
5.81022e-11	15089
6.14955e-11	14662.1
6.50871e-11	14255.7
6.88884e-11	13846.2
7.29118e-11	13466.4
7.71701e-11	13088.6
8.16771e-11	12717.1
8.64474e-11	12363.2
9.14962e-11	12031.4
9.68399e-11	11692.3
1.02496e-10	11360.5
1.08482e-10	11045.8
1.14818e-10	10731.4
1.21523e-10	10433.2
1.28621e-10	10140
1.36133e-10	9852.57
1.44083e-10	9580.53
1.52498e-10	9309.49
1.61405e-10	9047.23
1.70832e-10	8796.43
1.80809e-10	8556.73
1.91369e-10	8319.75
2.02545e-10	8078.85
2.14375e-10	7859.44
2.26895e-10	7630.86
2.40147e-10	7423.73
2.54172e-10	7210.91
2.69017e-10	7011.91
2.84728e-10	6814.86
3.01357e-10	6620.91
3.18958e-10	6438.48
3.37586e-10	6257.85
3.57302e-10	6082.42
3.7817e-10	5919.78
4.00257e-10	5747.64
4.23633e-10	5589.68
4.48375e-10	5429.31
4.74562e-10	5280.35
5.02278e-10	5128.8
5.31613e-10	4990.84
5.62661e-10	4844.93
5.95522e-10	4714.18
6.30303e-10	4578.73
6.67115e-10	4452.69
7.06077e-10	4327.41
7.47315e-10	4204.24
7.90961e-10	4088.26
8.37156e-10	3973.57
8.86049e-10	3862.48
9.37797e-10	3758.45
9.92568e-10	3648.35
1.05054e-09	3549.2
1.11189e-09	3446.96
1.17683e-09	3351.99
1.24556e-09	3255.02
1.31831e-09	3165.78
1.3953e-09	3075.37
1.47679e-09	2988.94
1.56304e-09	2905.28
1.65433e-09	2822.77
1.75095e-09	2742.21
1.85321e-09	2669.09
1.96145e-09	2591.69
2.076e-09	2519.72
2.19725e-09	2448.88
2.32558e-09	2377.08
2.4614e-09	2311.62
2.60515e-09	2243.55
2.75731e-09	2181.72
2.91834e-09	2118.29
3.08878e-09	2058.87
3.26918e-09	2000.1
3.46011e-09	1942.18
3.6622e-09	1887.75
3.87608e-09	1833.85
4.10246e-09	1781.09
4.34206e-09	1730.1
4.59565e-09	1681.26
4.86406e-09	1633.4
5.14813e-09	1587.7
5.4488e-09	1542.55
5.76704e-09	1498.01
6.10385e-09	1455.16
6.46034e-09	1413.46
6.83765e-09	1372.02
7.23699e-09	1333.1
7.65966e-09	1294.22
8.10701e-09	1256.16
8.58049e-09	1220.07
9.08162e-09	1185.68
9.61202e-09	1151.26
1.01734e-08	1116.75
1.07676e-08	1084.77
1.13964e-08	1052.12
1.2062e-08	1021.71
1.27665e-08	991.187
1.35121e-08	961.776
1.43013e-08	933.356
1.51365e-08	905.05
