step	energy
0	2e+06
1	1.00908e+06
2	496170
3	247897
4	120733
5	59867.5
6	29775.1
7	14912.8
8	7538.91
9	3829.92
10	1888.62
11	982.4
12	439.839
13	202.239
14	96.6392
15	48.8944
16	21.5509
17	10.8644
18	5.10849
19	2.49973
20	1.42869
21	0.746733
22	0.371029
23	0.205752
24	0.114545
25	0.0665741
26	0.0517255
27	0.0459319
28	0.0445368
29	0.0405134
30	0.0392117
31	0.0394642
32	0.0404569
33	0.0396451
34	0.0381997
35	0.0372863
36	0.0376493
37	0.0375159
38	0.0378259
39	0.037591
40	0.0377409
41	0.0382234
42	0.0383332
43	0.0373113
44	0.0374171
45	0.0382305
46	0.037399
47	0.0376251
48	0.0374891
49	0.0382457
50	0.0386396
51	0.0378859
52	0.0385671
53	0.0377726
54	0.0379374
55	0.0377749
56	0.0381869
57	0.0370338
58	0.0369979
59	0.037322
60	0.0366593
61	0.0366837
62	0.0373245
63	0.0370924
64	0.0373897
65	0.0383959
66	0.0394521
67	0.0379018
68	0.038202
69	0.0390738
70	0.0394578
71	0.0379818
72	0.0387695
73	0.0377814
74	0.0378927
75	0.0383713
76	0.037179
77	0.036968
78	0.0375114
79	0.0379375
80	0.0381417
