energy	water_macroscopic	uranium_macroscopic
0.0299118	2.10752e+24	7.90841e+23
0.0316587	2.07835e+24	7.80191e+23
0.0335077	2.04748e+24	7.70325e+23
0.0354647	2.01481e+24	7.60466e+23
0.037536	1.98023e+24	7.50753e+23
0.0397282	1.95958e+24	7.41582e+23
0.0420485	1.93866e+24	7.32544e+23
0.0445043	1.91651e+24	7.23811e+23
0.0471035	1.89307e+24	7.15505e+23
0.0498545	1.86826e+24	7.06714e+23
0.0527662	1.8514e+24	6.99044e+23
0.0558479	1.83408e+24	6.91018e+23
0.0591097	1.81575e+24	6.83593e+23
0.0625619	1.79647e+24	6.75916e+23
0.0662157	1.78251e+24	6.68976e+23
0.070083	1.76774e+24	6.61968e+23
0.0741761	1.75211e+24	6.55224e+23
0.0785083	1.73929e+24	6.48808e+23
0.0830934	1.72664e+24	6.42516e+23
0.0879464	1.71355e+24	6.36439e+23
0.0930828	1.70284e+24	6.30851e+23
0.0985192	1.69151e+24	6.24937e+23
0.104273	1.68215e+24	6.19594e+23
0.110363	1.6732e+24	6.14274e+23
0.116809	1.66374e+24	6.09293e+23
0.123631	1.65372e+24	6.0436e+23
0.130851	1.64594e+24	5.99861e+23
0.138493	1.63842e+24	5.95395e+23
0.146582	1.63045e+24	5.91491e+23
0.155143	1.62346e+24	5.87786e+23
0.164204	1.61706e+24	5.84281e+23
0.173794	1.61028e+24	5.81097e+23
0.183944	1.60468e+24	5.78774e+23
0.194687	1.59897e+24	5.76465e+23
0.206058	1.59409e+24	5.74894e+23
0.218092	1.59e+24	5.74041e+23
0.230829	1.58567e+24	5.74431e+23
0.244311	1.58109e+24	5.75228e+23
0.258579	1.57624e+24	5.76392e+23
0.273681	1.5711e+24	5.77624e+23
0.289665	1.56779e+24	5.74331e+23
0.306583	1.56448e+24	5.70408e+23
0.324489	1.56097e+24	5.63331e+23
0.34344	1.55727e+24	5.54313e+23
0.363498	1.55426e+24	5.45954e+23
0.384728	1.55156e+24	5.37718e+23
0.407197	1.54869e+24	5.31493e+23
0.430979	1.54589e+24	5.25889e+23
0.45615	1.54363e+24	5.21886e+23
0.482791	1.54124e+24	5.17649e+23
0.510988	1.53902e+24	5.13956e+23
0.540831	1.53719e+24	5.11357e+23
0.572418	1.53525e+24	5.08607e+23
0.605849	1.5332e+24	5.05696e+23
0.641233	1.53135e+24	5.03233e+23
0.678683	1.5298e+24	5.01396e+23
0.718321	1.52817e+24	4.99452e+23
0.760273	1.52655e+24	4.97671e+23
0.804676	1.52523e+24	4.96688e+23
0.851672	1.52384e+24	4.95648e+23
0.901413	1.52255e+24	4.95907e+23
0.954059	1.52137e+24	4.97451e+23
1.00978	1.52019e+24	4.98223e+23
1.06875	1.51925e+24	4.94751e+23
1.13117	1.51826e+24	4.91077e+23
1.19724	1.51722e+24	4.87188e+23
1.26716	1.5162e+24	4.83225e+23
1.34117	1.51541e+24	4.79529e+23
1.4195	1.51457e+24	4.75617e+23
1.5024	1.51369e+24	4.71561e+23
1.59015	1.51301e+24	4.70274e+23
1.68302	1.5123e+24	4.68912e+23
1.78131	1.5116e+24	4.69286e+23
1.88535	1.51099e+24	4.73793e+23
1.99546	1.51035e+24	4.78564e+23
2.112	1.5099e+24	4.74805e+23
2.23535	1.50943e+24	4.70449e+23
2.3659	1.50894e+24	4.65839e+23
2.50408	1.50842e+24	4.6096e+23
2.65033	1.50786e+24	4.58354e+23
2.80512	1.50737e+24	4.60096e+23
2.96895	1.507e+24	4.61939e+23
3.14235	1.50662e+24	4.61852e+23
3.32587	1.50621e+24	4.60508e+23
3.52011	1.5058e+24	4.61023e+23
3.7257	1.5055e+24	4.62888e+23
3.9433	1.50518e+24	4.46182e+23
4.1736	1.50485e+24	4.4523e+23
4.41735	1.50456e+24	4.82035e+23
4.67534	1.50429e+24	4.49122e+23
4.9484	1.50401e+24	4.7575e+23
5.2374	1.50378e+24	4.60717e+23
5.54329	1.50356e+24	4.91143e+23
5.86704	1.50333e+24	5.76182e+23
6.20969	1.50308e+24	1.04003e+24
6.57236	1.50289e+24	3.59777e+25
6.95621	1.5027e+24	3.21458e+24
7.36248	1.5025e+24	1.00061e+24
7.79248	1.50232e+24	6.97723e+23
8.24759	1.50216e+24	5.97257e+23
8.72928	1.50199e+24	7.38107e+23
9.2391	1.50184e+24	5.57889e+23
9.7787	1.50169e+24	5.02676e+23
10.3498	1.50156e+24	5.04039e+23
10.9543	1.50144e+24	4.67512e+23
11.5941	1.50131e+24	5.44393e+23
12.2712	1.50118e+24	6.8446e+23
12.9879	1.50106e+24	4.61239e+23
13.7464	1.50096e+24	4.39958e+23
14.5493	1.50085e+24	4.1883e+23
15.399	1.50075e+24	3.97294e+23
16.2983	1.50065e+24	3.86712e+23
17.2502	1.50056e+24	3.57484e+23
18.2577	1.50047e+24	3.45454e+23
19.324	1.50039e+24	6.55572e+23
20.4526	1.50031e+24	2.38531e+24
21.6471	1.50025e+24	1.97317e+24
22.9114	1.50018e+24	8.41913e+23
24.2495	1.50011e+24	6.51393e+23
25.6658	1.50003e+24	5.47235e+23
27.1647	1.49996e+24	4.77084e+23
28.7513	1.4999e+24	4.24459e+23
30.4305	1.49984e+24	3.83498e+23
32.2077	1.49979e+24	3.62319e+23
34.0888	1.49972e+24	2.62238e+23
36.0797	1.49967e+24	3.05189e+24
38.1869	1.49962e+24	2.22569e+24
40.4171	1.49957e+24	1.02007e+24
42.7776	1.49952e+24	7.84783e+23
45.276	1.49948e+24	7.07209e+23
47.9203	1.49944e+24	6.32501e+23
50.719	1.49939e+24	5.87506e+23
53.6812	1.49936e+24	5.38094e+23
56.8164	1.49932e+24	5.56937e+23
60.1346	1.49928e+24	4.47324e+23
63.6467	1.49924e+24	3.83186e+23
67.3639	1.49921e+24	1.43292e+24
71.2982	1.49918e+24	6.8141e+23
75.4623	1.49914e+24	5.81543e+23
79.8696	1.49911e+24	4.96199e+23
84.5343	1.49908e+24	5.21231e+23
89.4714	1.49905e+24	5.75439e+23
94.6969	1.49901e+24	3.52923e+23
100.228	1.49896e+24	1.44449e+23
106.081	1.49877e+24	1.17487e+24
112.277	1.49856e+24	6.08978e+23
118.834	1.49835e+24	1.1068e+24
125.774	1.49812e+24	7.08175e+23
133.12	1.49792e+24	6.32706e+23
140.895	1.49771e+24	5.55824e+23
149.124	1.49748e+24	5.43777e+23
157.833	1.49727e+24	4.81237e+23
167.051	1.49706e+24	4.76821e+23
176.807	1.49684e+24	3.66729e+23
187.134	1.49663e+24	1.42225e+23
198.063	1.49642e+24	9.31101e+23
209.631	1.49623e+24	2.27808e+24
221.874	1.49603e+24	7.16739e+23
234.832	1.49583e+24	4.86143e+23
248.547	1.49561e+24	6.68144e+23
263.063	1.49539e+24	5.80082e+23
278.427	1.49516e+24	6.7673e+23
294.688	1.49497e+24	7.33282e+23
311.899	1.49476e+24	7.10355e+23
330.115	1.49455e+24	5.20544e+23
349.395	1.49432e+24	1.6533e+24
369.801	1.49413e+24	6.06327e+23
391.399	1.49392e+24	5.48527e+23
414.258	1.49371e+24	6.27373e+23
438.452	1.4935e+24	5.81671e+23
464.06	1.4933e+24	7.21352e+23
491.162	1.49308e+24	5.1544e+23
519.848	1.49289e+24	1.0188e+24
550.209	1.49269e+24	5.4312e+23
582.344	1.49248e+24	6.69681e+23
616.355	1.49226e+24	4.9394e+23
652.352	1.49206e+24	4.07728e+23
690.452	1.49186e+24	4.26306e+23
730.777	1.49165e+24	6.07444e+23
773.457	1.49144e+24	5.0106e+23
818.63	1.49124e+24	2.92051e+23
866.441	1.49102e+24	1.67763e+24
917.044	1.4908e+24	4.33197e+23
970.603	1.49058e+24	5.64967e+23
1027.29	1.48992e+24	6.19581e+23
1087.29	1.48877e+24	5.14556e+23
1150.79	1.48754e+24	6.4753e+23
1218	1.48624e+24	5.48337e+23
1289.13	1.485e+24	6.15456e+23
1364.43	1.48381e+24	4.68511e+23
1444.11	1.48254e+24	2.12142e+24
1528.45	1.48127e+24	8.78232e+23
1617.72	1.48007e+24	4.60739e+23
1712.2	1.4788e+24	1.00077e+24
1812.2	1.47757e+24	6.99278e+23
1918.04	1.47634e+24	1.98452e+24
2030.06	1.47511e+24	2.75479e+24
2148.62	1.47404e+24	2.71925e+23
2274.11	1.4729e+24	6.62984e+23
2406.93	1.47169e+24	4.74292e+23
2547.5	1.47041e+24	1.40025e+25
2696.29	1.46906e+24	1.75311e+24
2853.76	1.46784e+24	3.97325e+23
3020.43	1.46666e+24	5.16601e+23
3196.83	1.46541e+24	5.77801e+23
3383.54	1.46408e+24	5.6155e+23
3581.15	1.46281e+24	9.15355e+23
3790.31	1.46165e+24	9.43088e+23
4011.67	1.46042e+24	6.25692e+23
4245.97	1.45912e+24	5.63889e+23
4493.95	1.45793e+24	4.44685e+23
4756.41	1.45667e+24	5.94988e+23
5034.21	1.45514e+24	5.07701e+23
5328.22	1.45207e+24	5.58993e+23
5639.41	1.44881e+24	3.9584e+24
5968.77	1.44537e+24	6.81025e+23
6317.37	1.44185e+24	5.01854e+23
6686.33	1.43867e+24	4.75886e+23
7076.84	1.4353e+24	8.3939e+23
7490.15	1.43174e+24	5.09168e+23
7927.6	1.42855e+24	6.05042e+23
8390.61	1.42517e+24	5.51564e+23
8880.65	1.42173e+24	5.37969e+23
9399.31	1.41844e+24	4.68322e+23
9948.27	1.41497e+24	5.06413e+23
10529.3	1.40953e+24	7.43104e+23
11144.2	1.4036e+24	7.38045e+23
11795.1	1.39732e+24	7.32607e+23
12484	1.39068e+24	7.2778e+23
13213.1	1.38497e+24	7.23034e+23
13984.8	1.37897e+24	7.17974e+23
14801.5	1.37262e+24	7.13579e+23
15666	1.36674e+24	7.08956e+23
16581	1.3608e+24	7.04625e+23
17549.3	1.35455e+24	7.00332e+23
18574.3	1.34883e+24	6.96113e+23
19659.1	1.34277e+24	6.91965e+23
20807.3	1.33544e+24	6.88058e+23
22022.5	1.32728e+24	6.84111e+23
23308.7	1.31865e+24	6.80076e+23
24670	1.3095e+24	6.76309e+23
26110.8	1.29983e+24	6.72399e+23
27635.8	1.28968e+24	6.68852e+23
29249.8	1.27989e+24	6.65098e+23
30958.1	1.26954e+24	6.61481e+23
32766.2	1.25857e+24	6.57938e+23
34679.9	1.24697e+24	6.5419e+23
36705.3	1.23594e+24	6.5071e+23
38849	1.2245e+24	6.4712e+23
41118	1.2124e+24	6.43543e+23
43519.4	1.19993e+24	6.39999e+23
46061.1	1.18721e+24	6.36395e+23
48751.2	1.17375e+24	6.32829e+23
51598.5	1.16023e+24	6.29205e+23
54612	1.14652e+24	6.25534e+23
57801.6	1.13201e+24	6.21889e+23
61177.4	1.11666e+24	6.18184e+23
64750.4	1.10159e+24	6.14487e+23
68532.1	1.08637e+24	6.10578e+23
72534.6	1.07026e+24	6.0668e+23
76770.9	1.05408e+24	6.02704e+23
81254.6	1.03824e+24	5.98581e+23
86000.1	1.02147e+24	5.94452e+23
91022.9	1.00495e+24	5.90138e+23
96338.9	9.88021e+23	5.85801e+23
101966	9.70998e+23	5.81345e+23
107921	9.54742e+23	5.76896e+23
114224	9.37537e+23	5.72178e+23
120895	9.19326e+23	5.67208e+23
127955	9.01387e+23	5.62315e+23
135429	8.84363e+23	5.57145e+23
143338	8.66345e+23	5.5179e+23
151710	8.47936e+23	5.4635e+23
160570	8.31181e+23	5.40741e+23
169948	8.13447e+23	5.35071e+23
179873	7.95952e+23	5.29071e+23
190379	7.78836e+23	5.23042e+23
201497	7.61036e+23	5.16716e+23
213266	7.44347e+23	5.10365e+23
225721	7.27579e+23	5.03643e+23
238904	7.10948e+23	4.96866e+23
252857	6.95138e+23	4.89866e+23
267625	6.7957e+23	4.82737e+23
283255	6.64517e+23	4.75471e+23
299798	6.50318e+23	4.6778e+23
317308	6.37852e+23	4.62553e+23
335840	6.27898e+23	4.56413e+23
355454	6.2322e+23	4.49974e+23
376214	6.31842e+23	4.43224e+23
398186	6.82743e+23	4.36004e+23
421442	8.82109e+23	4.28982e+23
446055	8.97523e+23	4.21611e+23
472107	6.47693e+23	4.14577e+23
499679	5.60962e+23	4.07279e+23
528863	5.22888e+23	4.00469e+23
559750	4.98458e+23	3.93544e+23
592442	4.79831e+23	3.86836e+23
627042	4.64076e+23	3.80408e+23
663664	4.49715e+23	3.74132e+23
702424	4.36495e+23	3.68127e+23
743449	4.24613e+23	3.62588e+23
786869	4.14129e+23	3.57406e+23
832825	4.06452e+23	3.52718e+23
881465	4.06195e+23	3.48495e+23
932946	4.3508e+23	3.44974e+23
987433	5.48116e+23	3.41658e+23
1.0451e+06	4.65319e+23	3.38623e+23
1.10614e+06	3.87474e+23	3.35831e+23
1.17074e+06	3.57207e+23	3.35505e+23
1.23912e+06	3.45794e+23	3.35261e+23
1.31149e+06	4.69549e+23	3.3523e+23
1.38808e+06	3.22596e+23	3.35986e+23
1.46915e+06	3.01945e+23	3.37426e+23
1.55496e+06	2.89105e+23	3.37917e+23
1.64577e+06	3.11546e+23	3.34935e+23
1.74189e+06	2.67277e+23	3.27852e+23
1.84363e+06	2.82428e+23	3.18788e+23
1.9513e+06	2.58268e+23	3.09958e+23
2.06526e+06	2.41251e+23	3.02325e+23
2.18588e+06	2.28219e+23	2.96812e+23
2.31355e+06	1.92991e+23	2.9259e+23
2.44867e+06	2.03041e+23	2.90392e+23
