energy	macroscopic_cross_section
8.04676e-07	4.96688e+23
8.51672e-07	4.95648e+23
9.01413e-07	4.95907e+23
9.54059e-07	4.97451e+23
1.00978e-06	4.98223e+23
1.06875e-06	4.94751e+23
1.13117e-06	4.91077e+23
1.19724e-06	4.87188e+23
1.26716e-06	4.83225e+23
1.34117e-06	4.79529e+23
1.4195e-06	4.75617e+23
1.5024e-06	4.71561e+23
1.59015e-06	4.70274e+23
1.68302e-06	4.68912e+23
1.78131e-06	4.69286e+23
1.88535e-06	4.73793e+23
1.99546e-06	4.78564e+23
2.112e-06	4.74805e+23
2.23535e-06	4.70449e+23
2.3659e-06	4.65839e+23
2.50408e-06	4.6096e+23
2.65033e-06	4.58354e+23
2.80512e-06	4.60096e+23
2.96895e-06	4.61939e+23
3.14235e-06	4.61852e+23
3.32587e-06	4.60508e+23
3.52011e-06	4.61023e+23
3.7257e-06	4.62888e+23
3.9433e-06	4.46182e+23
4.1736e-06	4.4523e+23
4.41735e-06	4.82035e+23
4.67534e-06	4.49122e+23
4.9484e-06	4.7575e+23
5.2374e-06	4.60717e+23
5.54329e-06	4.91143e+23
5.86704e-06	5.76182e+23
6.20969e-06	1.04003e+24
6.57236e-06	3.59777e+25
6.95621e-06	3.21458e+24
7.36248e-06	1.00061e+24
7.79248e-06	6.97723e+23
8.24759e-06	5.97257e+23
8.72928e-06	7.38107e+23
9.2391e-06	5.57889e+23
9.7787e-06	5.02676e+23
1.03498e-05	5.04039e+23
1.09543e-05	4.67512e+23
1.15941e-05	5.44393e+23
1.22712e-05	6.8446e+23
1.29879e-05	4.61239e+23
1.37464e-05	4.39958e+23
1.45493e-05	4.1883e+23
1.5399e-05	3.97294e+23
1.62983e-05	3.86712e+23
1.72502e-05	3.57484e+23
1.82577e-05	3.45454e+23
1.9324e-05	6.55572e+23
2.04526e-05	2.38531e+24
2.16471e-05	1.97317e+24
2.29114e-05	8.41913e+23
2.42495e-05	6.51393e+23
2.56658e-05	5.47235e+23
2.71647e-05	4.77084e+23
2.87513e-05	4.24459e+23
3.04305e-05	3.83498e+23
3.22077e-05	3.62319e+23
3.40888e-05	2.62238e+23
3.60797e-05	3.05189e+24
3.81869e-05	2.22569e+24
4.04171e-05	1.02007e+24
4.27776e-05	7.84783e+23
4.5276e-05	7.07209e+23
4.79203e-05	6.32501e+23
5.0719e-05	5.87506e+23
5.36812e-05	5.38094e+23
5.68164e-05	5.56937e+23
6.01346e-05	4.47324e+23
6.36467e-05	3.83186e+23
6.73639e-05	1.43292e+24
7.12982e-05	6.8141e+23
7.54623e-05	5.81543e+23
7.98696e-05	4.96199e+23
8.45343e-05	5.21231e+23
8.94714e-05	5.75439e+23
9.46969e-05	3.52923e+23
0.000100228	1.44449e+23
0.000106081	1.17487e+24
0.000112277	6.08978e+23
0.000118834	1.1068e+24
0.000125774	7.08175e+23
0.00013312	6.32706e+23
0.000140895	5.55824e+23
0.000149124	5.43777e+23
0.000157833	4.81237e+23
0.000167051	4.76821e+23
0.000176807	3.66729e+23
0.000187134	1.42225e+23
0.000198063	9.31101e+23
0.000209631	2.27808e+24
0.000221874	7.16739e+23
0.000234832	4.86143e+23
0.000248547	6.68144e+23
0.000263063	5.80082e+23
0.000278427	6.7673e+23
0.000294688	7.33282e+23
0.000311899	7.10355e+23
0.000330115	5.20544e+23
0.000349395	1.6533e+24
0.000369801	6.06327e+23
0.000391399	5.48527e+23
0.000414258	6.27373e+23
0.000438452	5.81671e+23
0.00046406	7.21352e+23
0.000491162	5.1544e+23
0.000519848	1.0188e+24
0.000550209	5.4312e+23
0.000582344	6.69681e+23
0.000616355	4.9394e+23
0.000652352	4.07728e+23
0.000690452	4.26306e+23
0.000730777	6.07444e+23
0.000773457	5.0106e+23
0.00081863	2.92051e+23
0.000866441	1.67763e+24
0.000917044	4.33197e+23
0.000970603	5.64967e+23
0.00102729	6.19581e+23
0.00108729	5.14556e+23
0.00115079	6.4753e+23
0.001218	5.48337e+23
0.00128913	6.15456e+23
0.00136443	4.68511e+23
0.00144411	2.12142e+24
0.00152845	8.78232e+23
0.00161772	4.60739e+23
0.0017122	1.00077e+24
0.0018122	6.99278e+23
0.00191804	1.98452e+24
0.00203006	2.75479e+24
0.00214862	2.71925e+23
0.00227411	6.62984e+23
0.00240693	4.74292e+23
0.0025475	1.40025e+25
0.00269629	1.75311e+24
0.00285376	3.97325e+23
0.00302043	5.16601e+23
0.00319683	5.77801e+23
0.00338354	5.6155e+23
0.00358115	9.15355e+23
0.00379031	9.43088e+23
0.00401167	6.25692e+23
0.00424597	5.63889e+23
0.00449395	4.44685e+23
0.00475641	5.94988e+23
0.00503421	5.07701e+23
0.00532822	5.58993e+23
0.00563941	3.9584e+24
0.00596877	6.81025e+23
0.00631737	5.01854e+23
0.00668633	4.75886e+23
0.00707684	8.3939e+23
0.00749015	5.09168e+23
0.0079276	6.05042e+23
0.00839061	5.51564e+23
0.00888065	5.37969e+23
0.00939931	4.68322e+23
0.00994827	5.06413e+23
0.0105293	7.43104e+23
0.0111442	7.38045e+23
0.0117951	7.32607e+23
0.012484	7.2778e+23
0.0132131	7.23034e+23
0.0139848	7.17974e+23
0.0148015	7.13579e+23
0.015666	7.08956e+23
0.016581	7.04625e+23
0.0175493	7.00332e+23
0.0185743	6.96113e+23
0.0196591	6.91965e+23
0.0208073	6.88058e+23
0.0220225	6.84111e+23
0.0233087	6.80076e+23
0.02467	6.76309e+23
0.0261108	6.72399e+23
0.0276358	6.68852e+23
0.0292498	6.65098e+23
0.0309581	6.61481e+23
0.0327662	6.57938e+23
0.0346799	6.5419e+23
0.0367053	6.5071e+23
0.038849	6.4712e+23
0.041118	6.43543e+23
0.0435194	6.39999e+23
0.0460611	6.36395e+23
0.0487512	6.32829e+23
0.0515985	6.29205e+23
0.054612	6.25534e+23
0.0578016	6.21889e+23
0.0611774	6.18184e+23
0.0647504	6.14487e+23
0.0685321	6.10578e+23
0.0725346	6.0668e+23
0.0767709	6.02704e+23
0.0812546	5.98581e+23
0.0860001	5.94452e+23
0.0910229	5.90138e+23
0.0963389	5.85801e+23
0.101966	5.81345e+23
0.107921	5.76896e+23
0.114224	5.72178e+23
0.120895	5.67208e+23
0.127955	5.62315e+23
0.135429	5.57145e+23
0.143338	5.5179e+23
0.15171	5.4635e+23
0.16057	5.40741e+23
0.169948	5.35071e+23
0.179873	5.29071e+23
0.190379	5.23042e+23
0.201497	5.16716e+23
0.213266	5.10365e+23
0.225721	5.03643e+23
0.238904	4.96866e+23
0.252857	4.89866e+23
0.267625	4.82737e+23
0.283255	4.75471e+23
0.299798	4.6778e+23
0.317308	4.62553e+23
0.33584	4.56413e+23
0.355454	4.49974e+23
0.376214	4.43224e+23
0.398186	4.36004e+23
0.421442	4.28982e+23
0.446055	4.21611e+23
0.472107	4.14577e+23
0.499679	4.07279e+23
0.528863	4.00469e+23
0.55975	3.93544e+23
0.592442	3.86836e+23
0.627042	3.80408e+23
0.663664	3.74132e+23
0.702424	3.68127e+23
0.743449	3.62588e+23
0.786869	3.57406e+23
0.832825	3.52718e+23
0.881465	3.48495e+23
0.932946	3.44974e+23
0.987433	3.41658e+23
1.0451	3.38623e+23
1.10614	3.35831e+23
1.17074	3.35505e+23
1.23912	3.35261e+23
1.31149	3.3523e+23
1.38808	3.35986e+23
1.46915	3.37426e+23
1.55496	3.37917e+23
1.64577	3.34935e+23
1.74189	3.27852e+23
1.84363	3.18788e+23
1.9513	3.09958e+23
2.06526	3.02325e+23
2.18588	2.96812e+23
2.31355	2.9259e+23
2.44867	2.90392e+23
2.59168	2.89842e+23
2.74304	2.90767e+23
2.90324	2.92516e+23
3.07281	2.9456e+23
3.25227	2.96808e+23
3.44221	2.98997e+23
3.64325	3.00546e+23
3.85603	3.01007e+23
4.08124	3.00039e+23
4.3196	2.97388e+23
4.57188	2.93337e+23
4.83889	2.87824e+23
5.1215	2.80509e+23
5.42062	2.71804e+23
5.7372	2.66622e+23
6.07227	2.63825e+23
6.42692	2.65736e+23
6.80227	2.67553e+23
7.19955	2.66954e+23
7.62003	2.62647e+23
8.06507	2.56059e+23
8.5361	2.48407e+23
9.03464	2.40332e+23
9.5623	2.31807e+23
10.1208	2.23952e+23
10.7119	2.17521e+23
11.3375	2.12068e+23
11.9996	2.07873e+23
12.7004	2.06095e+23
13.4422	2.09414e+23
14.2273	2.14613e+23
15.0582	2.18364e+23
15.9377	2.24532e+23
16.8685	2.26903e+23
17.8537	2.28664e+23
18.8964	2.32635e+23
20	2.42714e+23
