energy	cross_section
1e-11	0
1e-11	56.1429
1.125e-11	52.9455
1.25e-11	50.2413
1.375e-11	47.9153
1.5e-11	45.8871
1.625e-11	44.0981
1.75e-11	42.5048
2e-11	39.7798
2.1875e-11	38.0513
2.375e-11	36.5322
2.5625e-11	35.1837
2.75e-11	33.976
3.125e-11	31.8965
3.5e-11	30.1622
3.875e-11	28.6873
4.25e-11	27.4132
4.625e-11	26.2982
5e-11	25.3119
5.625e-11	23.8943
6.25e-11	22.6966
6.875e-11	21.6674
7.5e-11	20.7709
8.125e-11	19.9809
8.75e-11	19.278
1e-10	18.0777
1.125e-10	17.0859
1.25e-10	16.2491
1.375e-10	15.5309
1.5e-10	14.906
1.625e-10	14.356
1.75e-10	13.8674
2e-10	13.0343
2.1875e-10	12.5079
2.375e-10	12.0469
2.75e-10	11.2749
3.125e-10	10.6509
3.5e-10	10.134
3.875e-10	9.69713
4.25e-10	9.32221
4.625e-10	8.99619
5e-10	8.70963
5.625e-10	8.30114
6.25e-10	7.95958
6.875e-10	7.6691
7.5e-10	7.41861
8.75e-10	7.00758
1e-09	6.68351
1.125e-09	6.42085
1.25e-09	6.20331
1.375e-09	6.02
1.5e-09	5.86332
1.75e-09	5.60944
2e-09	5.41247
2.375e-09	5.18787
2.75e-09	5.01987
3.125e-09	4.88958
3.5e-09	4.78568
4.25e-09	4.63065
5e-09	4.52073
6.25e-09	4.39508
7.5e-09	4.31086
8.75e-09	4.25058
1e-08	4.20532
1.25e-08	4.14193
1.5e-08	4.09966
1.75e-08	4.06946
2e-08	4.04682
2.53e-08	4.01361
3.765e-08	3.97251
5e-08	3.95171
6.25e-08	3.93903
7.5e-08	3.93057
8.75e-08	3.92453
1e-07	3.92
1.25e-07	3.91366
1.5e-07	3.90944
1.75e-07	3.90642
2e-07	3.90415
2.75e-07	3.89983
3.5e-07	3.89736
4.25e-07	3.89576
5e-07	3.89464
6.25e-07	3.89337
7.5e-07	3.89253
8.75e-07	3.89192
1e-06	3.89147
1.25e-06	3.89083
1.5e-06	3.89041
1.75e-06	3.89011
2e-06	3.88988
2.75e-06	3.88945
3.5e-06	3.8892
4.25e-06	3.88904
5e-06	3.88892
6.25e-06	3.88879
7.5e-06	3.88871
8.75e-06	3.88864
1e-05	3.88859
1.25e-05	3.88853
1.5e-05	3.88848
1.75e-05	3.88844
2e-05	3.88841
2.75e-05	3.88835
3.5e-05	3.88831
4.25e-05	3.88828
5e-05	3.88825
6.25e-05	3.88821
7.5e-05	3.88817
8.75e-05	3.88814
0.0001	3.8881
0.000125	3.88804
0.00015	3.88798
0.000175	3.88792
0.0002	3.88786
0.000275	3.88768
0.00035	3.8875
0.000425	3.88733
0.0005	3.88716
0.000625	3.88687
0.00075	3.88658
0.000875	3.88629
0.001	3.886
0.00125	3.88542
0.0015	3.88484
0.00175	3.88426
0.002	3.88368
0.00275	3.88193
0.0035	3.88019
0.00425	3.87845
0.005	3.8767
0.00625	3.8738
0.0075	3.8709
0.00875	3.868
0.01	3.8651
0.0125	3.85948
0.015	3.85386
0.0175	3.84824
0.02	3.84262
0.0275	3.82577
0.035	3.80891
0.0425	3.79206
0.05	3.7752
0.0625	3.7491
0.075	3.723
0.0875	3.6969
0.1	3.6708
0.125	3.6243
0.15	3.5778
0.175	3.54015
0.2	3.5025
0.22	3.4804
0.24	3.46541
0.26	3.46081
0.28	3.47212
0.3	3.50872
0.31	3.54182
0.32	3.58933
0.33	3.65684
0.34	3.75265
0.35	3.88968
0.36	4.08933
0.37	4.38732
0.38	4.84749
0.39	5.58732
0.4	6.82888
0.405	7.75353
0.41	8.96489
0.415	10.516
0.42	12.3903
0.425	14.3799
0.43	15.9839
0.435	16.5601
0.44	15.8442
0.445	14.2151
0.45	12.3014
0.455	10.5319
0.46	9.06665
0.465	7.9099
0.47	7.01133
0.475	6.31368
0.48	5.76786
0.485	5.33607
0.49	4.99011
0.495	4.70936
0.5	4.47887
0.51	4.12616
0.52	3.87201
0.53	3.68207
0.54	3.53555
0.55	3.41924
0.56	3.32463
0.57	3.24612
0.58	3.17982
0.59	3.12291
0.6	3.07332
0.62	2.99071
0.64	2.92431
0.66	2.86961
0.68	2.82381
0.7	2.78561
0.72	2.75441
0.74	2.73031
0.76	2.71401
0.78	2.70721
0.8	2.71282
0.82	2.73543
0.84	2.78324
0.86	2.86967
0.88	3.01851
0.9	3.27293
0.91	3.46263
0.92	3.71298
0.93	4.04383
0.94	4.47949
0.95	5.04411
0.96	5.74894
0.97	6.56299
0.98	7.37193
0.99	7.96996
1	8.15325
1.01	7.8771
1.02	7.2834
1.03	6.5747
1.04	5.8926
1.05	5.3001
1.06	4.8095
1.07	4.4112
1.08	4.0893
1.09	3.8284
1.1	3.6155
1.12	3.2946
1.14	3.0704
1.16	2.9106
1.18	2.7983
1.2	2.7269
1.22	2.7013
1.24	2.7467
1.25	2.817
1.26	2.9452
1.27	3.1732
1.28	3.5832
1.285	3.9
1.29	4.323
1.295	4.8704
1.3	5.5274
1.305	6.1954
1.31	6.6636
1.315	6.713
1.32	6.3245
1.325	5.6954
1.33	5.0407
1.34	4.0172
1.35	3.3896
1.36	3.0088
1.37	2.7659
1.38	2.6016
1.39	2.4843
1.4	2.3964
1.45	2.1536
1.5	2.0284
1.55	1.9405
1.6	1.8742
1.62	1.8644
1.63	1.8843
1.64	2.0379
1.642	2.1496
1.643	2.2397
1.644	2.3704
1.645	2.5682
1.646	2.8841
1.647	3.4198
1.648	4.3816
1.6485	5.1268
1.649	6.0991
1.6495	7.2547
1.65	8.3499
1.6505	8.915
1.651	8.6102
1.6515	7.6329
1.652	6.4674
1.653	4.6235
1.654	3.5664
1.655	2.9763
1.656	2.6286
1.657	2.4105
1.658	2.266
1.659	2.1657
1.66	2.0933
1.665	1.9184
1.67	1.8534
1.675	1.8202
1.68	1.7998
1.685	1.7875
1.69	1.9846
1.695	1.7636
1.7	1.7531
1.72	1.7217
1.74	1.6936
1.76	1.6649
1.78	1.6329
1.8	1.5929
1.82	1.5791
1.822	1.6071
1.824	1.6687
1.826	1.806
1.828	2.1263
1.83	2.8829
1.831	3.5158
1.832	4.2242
1.833	4.7096
1.834	4.725
1.835	4.3768
1.836	3.923
1.837	3.5131
1.838	3.1857
1.839	2.934
1.84	2.7416
1.842	2.4769
1.844	2.3104
1.846	2.2
1.848	2.1235
1.85	2.069
1.852	2.0294
1.854	2.0006
1.856	1.98
1.858	1.9657
1.86	1.9569
1.865	1.9546
1.87	1.9789
1.875	2.0329
1.88	2.1261
1.885	2.274
1.89	2.4938
1.895	2.7831
1.9	3.0678
1.905	3.1863
1.91	3.0548
1.915	2.785
1.92	2.5158
1.925	2.3012
1.93	2.1421
1.935	2.0254
1.94	1.9387
1.95	1.8216
1.96	1.7474
1.97	1.696
1.98	1.6578
1.99	1.6276
2	1.6026
2.05	1.5134
2.1	1.4422
2.15	1.3647
2.2	1.256
2.22	1.1925
2.24	1.1076
2.26	0.98981
2.28	0.82309
2.3	0.59469
2.305	0.52899
2.31	0.46143
2.315	0.39357
2.32	0.32741
2.325	0.26545
2.33	0.21045
2.335	0.16523
2.34	0.13231
2.345	0.11353
2.35	0.10978
2.355	0.12086
2.35532	0.122071
2.35536	0.122239
2.36	0.1455
2.365	0.18162
2.37	0.22665
2.375	0.2779
2.38	0.33281
2.39	0.44531
2.4	0.5518
2.41	0.64626
2.42	0.72692
2.43	0.79434
2.44	0.85004
2.45	0.89582
2.46	0.93336
2.47	0.96415
2.48	0.98941
2.49	1.0102
2.5	1.0272
2.52	1.0528
2.54	1.07
2.56	1.0813
2.58	1.0885
2.6	1.0929
2.65	1.0958
2.7	1.0934
2.75	1.0901
2.8	1.0898
2.85	1.0981
2.86	1.1024
2.87	1.1097
2.88	1.1285
2.882	1.1379
2.884	1.1544
2.886	1.1929
2.887	1.2412
2.888	1.384
2.8882	1.4519
2.8884	1.5571
2.8885	1.6336
2.8886	1.7357
2.8887	1.8756
2.8888	2.0716
2.8889	2.3454
2.889	2.6932
2.8891	2.9721
2.8892	2.8127
2.8893	2.1872
2.8894	1.6081
2.8895	1.2716
2.8896	1.1022
2.8897	1.0195
2.8898	0.97968
2.89	0.95454
2.8905	0.9687
2.891	0.99201
2.892	1.0236
2.894	1.0539
2.896	1.0684
2.898	1.0771
2.9	1.0831
2.95	1.1359
3	1.219
3.005	1.2816
3.0055	1.3084
3.006	1.3617
3.0061	1.3793
3.0062	1.4011
3.0063	1.4288
3.0064	1.4649
3.0065	1.5137
3.0066	1.5825
3.0067	1.6848
3.0068	1.847
3.0069	2.1213
3.007	2.5847
3.0071	3.0589
3.0072	2.5767
3.0073	1.7327
3.0074	1.3423
3.0075	1.197
3.0076	1.1421
3.0077	1.1216
3.0078	1.1154
3.0079	1.1153
3.008	1.1179
3.0082	1.1259
3.0084	1.1342
3.0086	1.1419
3.0088	1.1485
3.009	1.1544
3.01	1.1744
3.015	1.2102
3.02	1.2272
3.04	1.2827
3.05	1.3134
3.06	1.3463
3.08	1.4248
3.1	1.5224
3.12	1.6425
3.14	1.7883
3.16	1.9612
3.17	2.0576
3.18	2.1602
3.19	2.269
3.2	2.3899
3.201	2.404
3.202	2.419
3.203	2.4355
3.204	2.454
3.205	2.4759
3.206	2.5035
3.207	2.5417
3.208	2.602
3.209	2.7163
3.21	2.9987
3.2105	3.3259
3.211	3.9615
3.2111	4.141
3.2112	4.3364
3.2113	4.5418
3.2114	4.747
3.2115	4.9366
3.2116	5.091
3.2117	5.1904
3.2118	5.2194
3.2119	5.1729
3.212	5.0578
3.2122	4.6918
3.2124	4.2729
3.2126	3.8993
3.2128	3.6015
3.213	3.3747
3.2132	3.2045
3.2134	3.0765
3.2136	2.9793
3.2138	2.9048
3.214	2.8468
3.2142	2.8012
3.2144	2.7649
3.2146	2.7358
3.2148	2.7122
3.215	2.6929
3.216	2.6368
3.217	2.6146
3.218	2.607
3.219	2.6066
3.22	2.61
