energy	u235_fission	u235_capture	u238_fission	u238_capture
0.00610385	1229.06	226.095	2.39606e-05	5.52213
0.00646034	1194.42	219.039	2.32913e-05	5.368
0.00683765	1159.97	212.042	2.2627e-05	5.21505
0.00723699	1127.61	205.495	2.20059e-05	5.07202
0.00765966	1095.26	198.965	2.13864e-05	4.9294
0.00810701	1063.58	192.587	2.07815e-05	4.79011
0.00858049	1033.51	186.558	2.02088e-05	4.65826
0.00908162	1004.85	180.833	1.96629e-05	4.53258
0.00961202	976.149	175.112	1.91162e-05	4.40673
0.0101734	947.364	169.385	1.8568e-05	4.28052
0.0107676	920.669	164.103	1.80596e-05	4.1635
0.0113964	893.403	158.715	1.75407e-05	4.04406
0.012062	867.988	153.721	1.70585e-05	3.93306
0.0127665	842.47	148.717	1.65751e-05	3.8218
0.0135121	817.867	143.91	1.61106e-05	3.71488
0.0143013	794.079	139.277	1.56632e-05	3.61193
0.0151365	770.378	134.672	1.52189e-05	3.50968
0.0160205	747.722	130.287	1.47968e-05	3.41254
0.0169562	725.638	126.028	1.43875e-05	3.31836
0.0179465	704.323	121.934	1.39943e-05	3.22791
0.0189946	683.578	117.965	1.36133e-05	3.14025
0.020104	661.973	113.835	1.32166e-05	3.04898
0.0212782	642.701	110.182	1.28634e-05	2.96775
0.0225209	622.305	106.316	1.24897e-05	2.88177
0.0238362	603.421	102.759	1.21517e-05	2.80405
0.0252283	584.245	99.1545	1.18007e-05	2.72332
0.0267017	566.128	95.7657	1.14843e-05	2.65058
0.0282612	547.794	92.344	1.11525e-05	2.57428
0.0299118	530.767	89.1847	1.08501e-05	2.50476
0.0316587	513.569	86.0007	1.05388e-05	2.43322
0.0335077	497.175	82.9806	1.02506e-05	2.36698
0.0354647	481.208	80.049	9.9633e-06	2.30096
0.037536	465.421	77.1588	9.68125e-06	2.23615
0.0397282	449.955	74.3363	9.41627e-06	2.17528
0.0420485	435.193	71.655	9.15554e-06	2.1154
0.0445043	420.88	69.0655	8.90419e-06	2.05768
0.0471035	406.807	66.5275	8.66621e-06	2.00304
0.0498545	392.898	64.0275	8.41432e-06	1.94521
0.0527662	379.59	61.6478	8.18968e-06	1.89366
0.0558479	367.131	59.4605	7.95426e-06	1.83964
0.0591097	354.192	57.2042	7.73891e-06	1.79025
0.0625619	342.188	55.2228	7.51658e-06	1.73925
0.0662157	330.243	53.3059	7.31387e-06	1.69278
0.070083	318.617	51.5186	7.10883e-06	1.64578
0.0741761	307.577	49.8828	6.91097e-06	1.60045
0.0785083	296.704	48.3095	6.72181e-06	1.55712
0.0830934	286.133	46.8276	6.53585e-06	1.51454
0.0879464	275.96	45.4669	6.3559e-06	1.47335
0.0930828	265.99	44.1796	6.19015e-06	1.43544
0.0985192	256.403	42.9859	6.01472e-06	1.39532
0.104273	247.259	41.8845	5.85208e-06	1.35814
0.110363	238.528	40.8628	5.68839e-06	1.32074
0.116809	230.399	39.9434	5.53316e-06	1.2853
0.123631	222.202	39.0291	5.37834e-06	1.24996
0.130851	214.831	38.2291	5.23324e-06	1.21687
0.138493	207.536	37.4216	5.0868e-06	1.18349
0.146582	201.534	36.4596	4.94954e-06	1.15223
0.155143	196.404	35.3135	4.81467e-06	1.12154
0.164204	191.419	34.6662	4.68226e-06	1.09142
0.173794	186.772	34.3678	4.55583e-06	1.0627
0.183944	183.191	34.3726	4.4386e-06	1.03611
0.194687	180.668	34.673	4.31689e-06	1.0085
0.206058	179.287	35.2886	4.19838e-06	0.981654
0.218092	180.215	36.4754	4.08252e-06	0.955434
0.230829	182.943	38.076	3.97536e-06	0.931232
0.244311	187.837	39.989	3.87179e-06	0.907875
0.258579	193.555	42.0434	3.77145e-06	0.885284
0.273681	198.387	43.2796	3.66526e-06	0.861372
0.289665	198.372	42.6348	3.57196e-06	0.840445
0.306583	190.407	39.5035	3.47503e-06	0.818713
0.324489	175.751	34.6373	3.38409e-06	0.798383
0.34344	157.876	29.1868	3.29393e-06	0.778262
0.363498	140.249	24.2621	3.20835e-06	0.759222
0.384728	124.922	20.2971	3.12283e-06	0.740232
0.407197	112.303	17.2662	3.04379e-06	0.722764
0.430979	101.897	14.9324	2.96552e-06	0.705509
0.45615	93.3872	13.1528	2.89422e-06	0.689894
0.482791	86.6093	11.8391	2.81875e-06	0.673367
0.510988	80.4014	10.6797	2.74701e-06	0.657743
0.540831	75.1567	9.75643	2.68456e-06	0.644304
0.572418	70.7855	9.03087	2.61847e-06	0.630079
0.605849	66.9954	8.4326	2.54852e-06	0.615024
0.641233	63.5451	7.90551	2.48393e-06	0.601265
0.678683	60.594	7.48013	2.42735e-06	0.589419
0.718321	58.3217	7.18556	2.36748e-06	0.576881
0.760273	56.445	6.9724	2.30779e-06	0.564467
0.804676	55.342	6.91485	2.25668e-06	0.554123
0.851672	55.377	7.10782	2.20258e-06	0.543175
0.901413	56.5147	7.56727	2.15187e-06	0.533121
0.954059	60.8738	8.88049	2.10432e-06	0.523914
1.00978	70.7985	11.9161	2.05639e-06	0.514743
1.06875	92.5883	19.6983	2.01757e-06	0.507884
1.13117	110.161	31.5915	1.97649e-06	0.500625
1.19724	62.5044	22.8287	1.93301e-06	0.492942
1.26716	29.2056	10.9591	1.89058e-06	0.485707
1.34117	20.1941	6.45431	1.8574e-06	0.480966
1.4195	17.3061	4.64616	1.82229e-06	0.475948
1.5024	15.9393	3.75707	1.78544e-06	0.470724
1.59015	15.0769	3.31765	1.7579e-06	0.468273
1.68302	14.3655	3.10825	1.72876e-06	0.465679
1.78131	13.7875	3.21443	1.70094e-06	0.463842
1.88535	13.5787	4.4687	1.67837e-06	0.463953
1.99546	20.162	30.5569	1.65447e-06	0.464071
2.112	13.5923	11.2582	1.64214e-06	0.468995
2.23535	11.0369	3.07217	1.62963e-06	0.474413
2.3659	10.2242	2.29626	1.6164e-06	0.480147
2.50408	9.3035	2.16626	1.60239e-06	0.486215
2.65033	7.64868	2.54833	1.59397e-06	0.495893
2.80512	14.1299	3.90475	1.59631e-06	0.511858
2.96895	22.2399	4.40638	1.59878e-06	0.528755
3.14235	53.0945	18.8675	1.6108e-06	0.553245
3.32587	17.7055	5.92654	1.6293e-06	0.583221
3.52011	42.5082	18.1612	1.6535e-06	0.618956
3.7257	13.1193	14.7985	1.69542e-06	0.671372
3.9433	2.64217	2.78756	1.75309e-06	0.74142
4.1736	2.86647	1.92187	1.82994e-06	0.839763
4.41735	3.2644	2.17331	1.94221e-06	1.74144
4.67534	4.3313	6.69496	2.11217e-06	1.16271
4.9484	5.80604	24.9103	2.36598e-06	1.46563
5.2374	8.10375	3.18287	2.7789e-06	1.99502
5.54329	16.3985	3.55084	3.55942e-06	3.0795
5.86704	15.9167	4.59908	5.2887e-06	5.72146
6.20969	52.2161	30.0111	1.17029e-05	16.9199
6.57236	8.81486	20.2745	0.000334365	725.278
6.95621	19.1925	19.7597	1.39549e-05	44.3547
7.36248	4.65315	4.88875	1.3235e-06	7.01905
7.79248	2.31162	3.10046	3.65899e-07	2.68456
8.24759	11.0155	6.42858	2.46139e-07	1.38304
8.72928	584.593	195.295	2.68923e-07	0.849178
9.2391	107.181	42.9313	3.25034e-07	0.592385
9.7787	27.9493	6.76717	3.87844e-07	0.456781
10.3498	17.9676	4.23711	4.51914e-07	0.812526
10.9543	12.2694	2.96423	5.17303e-07	0.325066
11.5941	54.124	255.319	5.86538e-07	0.299397
12.2712	147.816	118.488	6.63943e-07	0.277324
12.9879	18.1022	8.79293	7.54959e-07	0.278667
13.7464	64.2054	8.45164	8.69406e-07	0.294738
14.5493	38.6784	54.7975	1.02348e-06	0.328867
15.399	74.3106	53.1974	1.24661e-06	0.39024
16.2983	4.84496	11.1557	1.59771e-06	0.499629
17.2502	6.79893	2.01258	2.23947e-06	0.717332
18.2577	32.5153	8.1937	3.74404e-06	1.26246
19.324	668.998	405.483	9.19628e-06	3.38551
20.4526	16.0168	9.70747	0.00011497	46.6255
21.6471	3.49981	3.83339	2.71725e-05	12.4928
22.9114	85.2201	67.0551	3.46579e-06	1.83169
24.2495	70.1429	56.4794	1.23579e-06	0.833656
25.6658	77.2143	5.15669	7.0277e-07	0.453766
27.1647	20.2066	8.3417	5.44077e-07	0.380617
28.7513	9.04398	3.68533	5.33593e-07	0.375935
30.4305	13.1999	5.80492	6.26009e-07	0.487062
32.2077	94.9143	72.4572	8.80282e-07	0.818461
34.0888	22.427	20.9593	1.79038e-06	2.24265
36.0797	21.5343	2.93156	2.10541e-05	41.7987
38.1869	25.8315	3.39867	1.58674e-06	6.18078
40.4171	31.4616	6.68341	1.12954e-07	0.996096
42.7776	12.346	30.3965	5.96365e-08	0.388489
45.276	20.5844	2.48475	9.28419e-08	0.746185
47.9203	68.6164	50.2691	1.41245e-07	0.13776
50.719	39.3741	9.86618	2.00148e-07	0.107183
53.6812	17.6281	3.79422	2.81913e-07	0.100164
56.8164	38.4823	17.9188	4.20367e-07	0.118908
60.1346	58.7465	7.99549	7.75152e-07	0.213233
63.6467	28.144	1.85127	3.15075e-06	2.39882
67.3639	2.41929	1.45191	6.25573e-06	3.36056
71.2982	13.0449	2.79786	3.05267e-07	0.235479
75.4623	59.4532	10.8545	2.16947e-07	0.105721
79.8696	15.3851	6.86572	1.99881e-06	0.556499
84.5343	57.2554	11.405	3.03149e-08	0.0932178
89.4714	14.2529	4.12697	1.0642e-07	2.8884
94.6969	16.6679	9.50638	2.38465e-07	0.206028
100.228	15.606	9.78363	1.50752e-06	2.05858
106.081	27.8129	8.50611	3.3933e-07	0.900216
112.277	1.85566	1.12094	8.1574e-08	0.279072
118.834	38.3256	23.4273	8.98213e-08	0.969726
125.774	70.3663	36.8953	1.09154e-07	0.0738087
133.12	30.0329	8.77892	1.30232e-07	0.472612
140.895	5.34419	1.07421	1.53703e-07	0.0270181
149.124	57.4639	11.2172	1.82508e-07	0.0298909
157.833	3.84958	2.72521	2.23257e-07	0.0318459
167.051	9.02678	1.20139	2.95288e-07	0.140134
176.807	32.4995	4.00314	4.95932e-07	0.0965537
187.134	8.18616	0.784328	4.59884e-06	2.15335
198.063	32.817	2.80543	4.35657e-07	0.229292
209.631	8.96923	93.285	1.05036e-05	3.5311
221.874	41.6063	4.30998	4.02823e-08	0.0445229
234.832	1.68473	1.16164	6.46048e-07	0.310957
248.547	22.3872	8.98308	4.6911e-08	0.0256351
263.063	4.09665	1.27715	8.22754e-08	0.0714023
278.427	6.43465	3.04625	1.16235e-07	0.166021
294.688	1.58593	0.471068	1.5588e-07	1.36078
311.899	6.68657	1.61485	2.20685e-07	2.03227
330.115	9.4454	1.43365	4.2906e-07	0.0155105
349.395	11.3012	1.36447	1.33005e-05	1.50077
369.801	13.1637	7.41746	1.01707e-07	0.0115704
391.399	5.50623	1.19094	9.77072e-08	0.0137758
414.258	13.1202	2.30289	1.70817e-07	0.0528372
438.452	15.7635	1.69207	2.88115e-07	0.0287938
464.06	40.3871	13.0852	7.93307e-05	1.39906
491.162	9.64481	1.80604	2.27419e-07	0.0116531
519.848	30.9811	23.3834	6.59003e-06	0.833965
550.209	3.9216	0.809838	1.70566e-07	0.160941
582.344	7.13228	6.55379	1.32719e-06	0.266365
616.355	9.19761	2.81433	9.2755e-07	0.554737
652.352	2.74554	1.25823	4.87052e-07	0.0434092
690.452	15.4378	2.39105	3.86546e-06	0.142351
730.777	7.96701	2.02279	0.00725844	1.1366
773.457	4.08473	1.13813	1.64983e-07	0.0196452
818.63	14.6162	6.98631	2.02734e-06	0.166754
866.441	14.2327	9.72779	1.84612e-06	18.7602
917.044	7.65612	6.95612	5.21728e-08	0.0223466
970.603	2.59814	1.89707	1.44106e-09	0.0422106
1027.29	2.71307	1.94722	4.35889e-08	0.0322333
1087.29	5.83628	2.2124	3.28046e-07	0.00944172
1150.79	2.18992	0.701265	4.15155e-06	0.0402581
1218	1.12509	0.47749	3.53938e-05	0.0164688
1289.13	3.48012	1.55156	5.02009e-07	0.475621
1364.43	6.44632	1.89221	1.64637e-07	0.00523202
1444.11	6.91721	2.03549	7.6741e-08	19.4648
1528.45	3.69074	1.86502	4.42221e-08	1.20517
1617.72	2.88109	1.49956	2.67663e-08	0.0515073
1712.2	1.74943	1.18611	1.69207e-08	3.33376
1812.2	0.727173	0.74495	1.09971e-08	0.022302
1918.04	16.8065	5.00274	7.06599e-09	8.93741
2030.06	2.24888	2.23048	4.59935e-09	14.5515
2148.62	11.1765	4.06659	3.23262e-09	0.220302
2274.11	5.37914	1.89775	2.20032e-09	0.0621847
2406.93	5.69642	2.00342	1.54196e-09	0.0105239
2547.5	5.70722	2.00023	7.66254e-10	10.29
2696.29	5.14962	1.79466	9.17342e-10	10.0075
2853.76	5.08824	1.76171	9.01133e-10	0.0149099
3020.43	4.90381	1.68568	9.69063e-10	0.0170355
3196.83	4.9391	1.68665	1.13816e-09	0.0331433
3383.54	5.00709	1.69935	1.40249e-09	1.83327
3581.15	4.67754	1.57724	1.76358e-09	0.13616
3790.31	5.20621	1.74405	2.24173e-09	0.850117
4011.67	4.68529	1.5597	2.87132e-09	0.0513968
4245.97	5.01714	1.65792	3.70571e-09	0.0512891
4493.95	4.35652	1.42919	4.85987e-09	0.0163745
4756.41	3.89471	1.25938	6.57457e-09	0.887065
5034.21	3.88195	1.2357	9.25605e-09	0.812529
5328.22	4.03001	1.25984	1.60614e-08	0.955029
5639.41	3.8084	1.20697	9.27569e-08	2.77669
5968.77	3.65322	1.32271	5.96642e-09	2.42696
6317.37	3.32425	1.26729	2.15963e-08	0.334803
6686.33	3.18426	1.21269	5.80177e-08	0.293532
7076.84	3.49496	1.29043	1.693e-06	1.36027
7490.15	3.21949	1.1669	1.37111e-06	0.230765
7927.6	2.95983	1.1858	9.67492e-07	1.29941
